Feed Grains Database: Custom Query Results,,,,,,
Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1980,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,35
1981,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,86
1982,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,140
1983,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,160
1984,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,232
1985,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,271
1986,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,289.992
1987,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,279.146
1988,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,287.445
1989,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,321.446
1990,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,349.068
1991,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,398.264
1992,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,425.51
1993,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,458.259
1994,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,532.793
1995,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,395.68
1996,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,428.721
1997,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,487.732
1998,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,517.82
1999,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,565.8472
2000,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,629.8272
2001,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,707.2384615
2002,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,995.503937
2003,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1167.547727
2004,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1323.212528
2005,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,1603.324444
2006,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,2119.493852
2007,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,3049.214074
2008,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,3708.88904
2009,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,4591.157
2010,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5018.741
2011,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5000.032
2012,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,4641.127
2013,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5123.69
2014,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5200.09
2015,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5250
2016,MY Sep-Aug,Alcohol for fuel use,Corn,United States,Million bushels,5300
