YEAR,PLANTED,HARVEST,YIELD,PRODUCED,BEGIN,TOTSUP,EXPORTS,FEED,FSI,CONS,ENDING,FPRICE
1975/76,78719,67625,86.4,5841,558,6400,1664,3582,521,5767,633,2.54
1976/77,84588,71506,88.0,6289,633,6925,1645,3602,542,5789,1136,2.15
1977/78,84328,71614,90.8,6505,1136,7643,1896,3730,581,6207,1436,2.02
1978/79,81675,71930,101.0,7268,1436,8705,2113,4274,608,6995,1710,2.25
1979/80,81394,72400,109.5,7928,1710,9638,2402,4563,640,7604,2034,2.48
1980/81,84043,72961,91.0,6639,2034,8675,2391,4232,659,7282,1392,3.12
1981/82,84097,74524,108.9,8119,1392,9511,1997,4245,733,6975,2537,2.47
1982/83,81857,72719,113.2,8235,2537,10772,1821,4573,855,7249,3523,2.55
1983/84,60207,51479,81.1,4174,3523,7699,1886,3876,930,6693,1006,3.21
1984/85,80517,71897,106.7,7672,1006,8680,1850,4115,1067,7032,1648,2.63
1985/86,83398,75209,118.0,8875,1648,10534,1227,4114,1153,6494,4040,2.23
1986/87,76580,68907,119.4,8226,4040,12267,1492,4659,1234,7385,4882,1.50
1987/88,66200,59505,119.8,7131,4882,12016,1716,4789,1251,7757,4259,1.94
1988/89,67717,58250,84.6,4929,4259,9191,2028,3934,1297,7260,1930,2.54
1989/90,72322,64783,116.3,7532,1930,9464,2367,4382,1370,8120,1344,2.36
1990/91,74166,66952,118.5,7934,1344,9282,1727,4609,1425,7761,1521,2.28
1991/92,75957,68822,108.6,7475,1521,9016,1584,4798,1533,7915,1100,2.37
1992/93,79311,72077,131.5,9477,1100,10584,1663,5252,1556,8471,2113,2.07
1993/94,73239,62933,100.7,6338,2113,8472,1328,4680,1613,7621,850,2.50
1994/95,78921,72514,138.6,10051,850,10910,2177,5460,1715,9352,1558,2.26
1995/96,71479,65210,113.5,7400,1558,8974,2228,4693,1628,8548,426,3.24
1996/97,79229,72644,127.1,9233,426,9672,1797,5277,1714,8789,883,2.71
1997/98,79537,72671,126.7,9207,883,10099,1504,5482,1804,8791,1308,2.43
1998/99,80165,72589,134.4,9759,1308,11085,1981,5472,1846,9298,1787,1.94
1999/00,77386,70487,133.8,9431,1787,11232,1937,5664,1913,9515,1718,1.82
2000/01,79551,72440,136.9,9915,1718,11639,1941,5842,1957,9740,1899,1.85
2001/02,75702,68768,138.2,9503,1899,11412,1905,5864,2046,9815,1596,1.97
2002/03,78894,69330,129.3,8968,1596,10578,1588,5563,2340,9491,1087,2.32
2003/04,78603,70944,142.2,10087,1087,11188,1900,5793,2537,10230,958,2.42
2004/05,80929,73631,160.3,11806,958,12775,1818,6157,2686,10661,2114,2.06
2005/06,81779,75117,147.9,11112,2114,13235,2134,6153,2981,11268,1967,2.00
2006/07,78327,70638,149.1,10531,1967,12510,2125,5591,3490,11206,1304,3.04
2007/08,93527,86520,150.7,13038,1304,14362,2437,5858,4442,12737,1624,4.20
2008/09,85982,78570,153.3,12043,1624,13681,1849,5134,5025,12008,1673,4.06
2009/10,86382,79490,164.4,13067,1673,14748,1980,5099,5961,13040,1708,3.55
2010/11,88192,81446,152.6,12425,1708,14161,1834,4773,6426,13033,1128,5.18
2011/12,91936,83879,146.8,12314,1128,13471,1541,4520,6421,12482,989,6.22
2012/13,97291,87365,123.1,10755,989,11904,730,4315,6038,11083,821,6.89
2013/14,95365,87451,158.1,13829,821,14686,1920,5041,6493,13454,1232,4.46
2014/15,90597,83136,171.0,14216,1232,15479,1864,5324,6560,13748,1731,3.70
2015/16,87999,80749,168.4,13601,1731,15392,1825,5250,6610,13685,1708,3.70
2016/17,93601,85900,168.0,14430,1708,16273,1950,5550,6670,14170,2008,3.50
