Station,Latitude,Longitude,Elevation,Abbreviation
11084,31.0581,-87.0547,25.9,AL
12813,30.5467,-87.8808,7,AL
13160,32.8347,-88.1342,38.1,AL
13511,32.7017,-87.5808,67.1,AL
13816,31.87,-86.2542,132,AL
15749,34.7442,-87.5997,164.6,AL
17157,34.1736,-86.8133,243.8,AL
17304,34.6736,-86.0536,187.5,AL
17366,32.41,-87.0153,44.8,AL
18024,33.4164,-86.135,136.6,AL
18178,31.5411,-87.8833,118.9,AL
18323,31.8075,-85.9722,165.2,AL
18380,33.2119,-87.6161,51.5,AL
18438,32.0142,-85.7464,134.1,AL
18469,34.5667,-85.6128,323.7,AL
20080,32.3697,-112.86,539.5,AZ
21026,33.3761,-112.5828,271.3,AZ
21248,36.1533,-109.5394,1709.9,AZ
21514,33.2058,-111.6819,434.3,AZ
21614,34.3494,-111.6981,807.7,AZ
23160,35.2681,-111.7428,2239.4,AZ
23596,36.0528,-112.1503,2068.1,AZ
24089,34.9094,-110.1544,1549.9,AZ
24645,35.2,-114.0167,1078.7,AZ
24849,36.8644,-111.6022,978.4,AZ
25512,33.4044,-110.87,1085.1,AZ
26250,34.1547,-114.2897,128,AZ
26353,31.9356,-109.8378,1325.9,AZ
26796,34.5706,-112.4322,1586.5,AZ
27281,33.6731,-111.1508,672.1,AZ
27370,33.08,-111.7417,391.7,AZ
27390,32.815,-109.6808,900.4,AZ
27435,34.5172,-109.4028,1764.8,AZ
27716,35.3322,-112.8797,1600.2,AZ
28619,31.7056,-110.0569,1405.1,AZ
28815,32.2292,-110.9536,742.2,AZ
29271,33.8169,-109.9833,1560.6,AZ
29287,33.9792,-112.7403,638.6,AZ
29359,35.2406,-112.1903,2057.4,AZ
29652,32.6114,-114.635,58.2,AZ
30936,34.8822,-91.2153,56.4,AR
31596,35.0842,-92.4289,96,AR
31632,36.4197,-90.5858,91.4,AR
32356,36.4164,-93.7917,432.8,AR
32444,36.1006,-94.1744,387.1,AR
32930,36.4261,-94.4481,384,AR
34572,36.4947,-91.535,153,AR
34756,34.5731,-94.2494,344.4,AR
35186,35.6042,-91.2744,69.5,AR
35512,35.5125,-93.8683,253,AR
35754,34.2256,-92.0189,65.5,AR
35820,36.2639,-90.9681,96,AR
35908,33.8203,-93.3878,93.9,AR
36253,33.81,-91.2703,45.7,AR
36928,35.3028,-93.6369,152.4,AR
40693,37.8744,-122.2589,94.5,CA
40924,33.6131,-114.5972,81.7,CA
41048,32.9544,-115.5581,-30.5,CA
41614,41.5336,-120.1736,1423.4,CA
41715,39.6911,-121.8211,56.4,CA
41758,32.64,-117.0858,17.1,CA
41912,39.0911,-120.9481,725.4,CA
42239,32.9897,-116.5872,1414.3,CA
42294,38.535,-121.7761,18.3,CA
42319,36.4622,-116.8669,-59.1,CA
42728,38.3306,-120.6706,217.9,CA
42910,40.8097,-124.1603,6.1,CA
42941,34.7042,-118.4275,932.7,CA
43161,39.5092,-123.7567,37.5,CA
43257,36.78,-119.7194,101.5,CA
43747,36.3219,-119.6356,74.7,CA
43761,41.8042,-123.3758,341.4,CA
43875,38.6175,-122.8731,32.9,CA
44232,36.7981,-118.2036,1204,CA
44259,33.7086,-116.2153,-6.4,CA
44713,39.3183,-120.6392,1571.5,CA
44890,36.3817,-119.0264,156.4,CA
44997,37.6922,-121.7692,146.3,CA
45032,38.1061,-121.2878,12.2,CA
45385,39.1458,-121.5853,17.4,CA
45532,37.2858,-120.5117,46.6,CA
45983,41.3206,-122.3081,1094.2,CA
46074,38.2778,-122.2647,10.7,CA
46118,34.7675,-114.6189,271.3,CA
46175,33.6025,-117.8803,3,CA
46399,34.4478,-119.2275,227.1,CA
46506,39.7458,-122.1997,77.4,CA
46508,41.3089,-123.5317,122.8,CA
46719,34.1483,-118.1447,263.3,CA
46730,35.6278,-120.6856,213.4,CA
46826,38.2578,-122.6078,6.1,CA
47195,39.9367,-120.9475,1042.4,CA
47304,40.5175,-122.2986,151.5,CA
47306,34.0528,-117.1894,401.7,CA
47851,35.3056,-120.6639,96,CA
47902,34.4167,-119.6844,1.5,CA
47916,36.9906,-121.9911,39.6,CA
47965,38.4381,-122.6978,53,CA
48702,40.4167,-120.6631,1275.3,CA
48758,39.1678,-120.1428,1898.9,CA
48839,35.0233,-118.7497,434.3,CA
49087,33.7025,-117.7539,71.6,CA
49122,39.1467,-123.2103,193.9,CA
49200,38.3956,-121.9608,33.5,CA
49452,35.5975,-119.3531,105.2,CA
49490,40.7222,-122.9331,599.8,CA
49699,39.5231,-122.3058,71,CA
49855,37.75,-119.5897,1224.7,CA
49866,41.7036,-122.6408,800.1,CA
50848,39.9919,-105.2667,1671.5,CO
51294,38.46,-105.2256,1635.6,CO
51528,39.2203,-105.2783,2097,CO
51564,38.8236,-102.3486,1295.4,CO
51741,39.2425,-107.9631,1822.7,CO
52184,37.6742,-106.3247,2396.9,CO
52281,39.6261,-106.0353,2763,CO
52446,38.4775,-102.7808,1284.7,CO
53005,40.6147,-105.1314,1525.2,CO
53038,40.26,-103.8156,1328.6,CO
53146,39.1653,-108.7331,1378.9,CO
53662,38.5258,-106.9675,2323.8,CO
53951,37.7717,-107.1097,2757.8,CO
54076,38.0494,-102.1236,1033.3,CO
54770,38.0936,-102.6306,1105.5,CO
54834,38.0636,-103.2153,1185.7,CO
55322,37.1742,-105.9392,2343.9,CO
55722,38.4858,-107.8792,1764.5,CO
57167,38.0392,-103.6933,1271,CO
57337,38.0858,-106.1444,2347.3,CO
57936,40.4883,-106.8233,2094,CO
58204,37.9492,-107.8733,2643.2,CO
58429,37.1786,-104.4869,1837.9,CO
59243,40.0583,-102.2189,1121.7,CO
62658,41.95,-73.3667,167.6,CT
63207,41.3506,-72.0394,12.2,CT
67970,41.1247,-73.5475,57.9,CT
68138,41.795,-72.2283,198.1,CT
72730,39.2583,-75.5167,9.1,DE
73595,38.8161,-75.5761,13.7,DE
75915,38.8983,-75.425,10.7,DE
76410,39.6694,-75.7514,27.4,DE
79605,39.7739,-75.5414,82.3,DE
80211,29.7258,-85.0206,6.1,FL
80228,27.2181,-81.8739,9.1,FL
80478,27.8986,-81.8433,38.1,FL
80611,26.6928,-80.6711,6.1,FL
82220,30.7244,-86.0939,74.7,FL
82850,25.8489,-81.3897,1.5,FL
82915,29.755,-81.5389,1.5,FL
82944,30.6589,-81.4636,4,FL
83163,26.1019,-80.2011,4.9,FL
83186,26.585,-81.8614,4.6,FL
83207,27.4622,-80.3539,7.6,FL
84289,28.8031,-82.3125,12.2,FL
84570,24.555,-81.7522,1.2,FL
84731,30.1853,-82.5942,59.4,FL
85275,30.4517,-83.4119,36.6,FL
86414,29.0803,-82.0778,22.9,FL
86997,30.4781,-87.1869,34.1,FL
87020,25.5819,-80.4361,3,FL
87851,28.3378,-82.26,57.9,FL
88758,30.3931,-84.3533,16.8,FL
88824,28.1586,-82.7644,2.4,FL
88942,28.6242,-80.8158,1.5,FL
90140,31.5339,-84.1489,54.9,GA
90586,30.8228,-84.6175,57.9,GA
91340,31.1681,-81.5022,4,GA
91500,31.1903,-84.2036,53.3,GA
92318,33.5972,-83.8436,234.4,GA
92475,34.5292,-83.99,475.5,GA
92966,32.2003,-83.2058,121.9,GA
93621,34.3006,-83.86,356.6,GA
93754,31.9881,-81.9522,61,GA
94170,33.2842,-83.4681,74.7,GA
95874,33.0831,-83.2497,112.2,GA
95882,32.8703,-81.9672,59.4,GA
96335,33.4544,-84.8178,272.5,GA
97276,30.7836,-83.5692,56.4,GA
97600,34.2453,-85.1514,200.9,GA
97847,32.13,-81.21,14,GA
98535,32.6875,-84.5197,195.1,GA
98703,31.4461,-83.4767,115.8,GA
98740,34.5786,-83.3319,308.5,GA
99141,33.4028,-82.6222,149.4,GA
99157,33.7264,-82.7058,189,GA
99186,31.2514,-82.3128,44.2,GA
99291,32.8694,-85.1892,175.3,GA
100010,42.9536,-112.8253,1342.6,ID
100448,43.5936,-115.9236,986,ID
100470,44.0425,-111.2739,1588.6,ID
100803,42.3353,-111.385,1817.8,ID
101408,44.5733,-116.6753,807.7,ID
101956,47.6789,-116.8017,650.1,ID
102845,46.5022,-116.3217,303.3,ID
103143,46.0931,-115.5356,475.5,ID
103631,42.9403,-115.3231,751.6,ID
103732,42.5872,-111.7275,1691.6,ID
104140,42.5972,-114.1378,1237.5,ID
104295,42.3528,-114.5739,1379.2,ID
104670,42.7325,-114.5192,1140,ID
104831,47.5311,-116.1267,707.1,ID
104845,43.6842,-114.3603,1795.3,ID
105241,46.3747,-117.0156,437.7,ID
105275,42.1231,-111.3139,1806.2,ID
105462,43.9181,-113.6317,1797.4,ID
105559,42.1492,-112.2872,1362.5,ID
105685,44.5664,-113.8953,1539.2,ID
106152,46.7244,-116.9608,810.8,ID
106305,43.6039,-116.5753,752.9,ID
106388,44.9647,-116.2864,1179.6,ID
106542,42.2342,-113.8981,1389.6,ID
106891,44.0772,-116.9297,655.3,ID
107264,48.9958,-116.5031,541,ID
107386,48.3514,-116.8358,725.4,ID
108080,45.1875,-113.9008,1198.2,ID
108137,48.2928,-116.5578,640.1,ID
110072,41.1961,-90.7478,219.5,IL
110187,37.4814,-89.2344,195.1,IL
110338,41.7806,-88.3092,201.2,IL
111280,39.2883,-89.8703,189.3,IL
111436,39.4761,-88.1653,198.1,IL
112140,40.1389,-87.6483,170.1,IL
112193,39.8275,-88.9525,189,IL
112348,41.8472,-89.5047,213.4,IL
112483,37.9878,-89.1931,128,IL
113335,41.1744,-90.0356,246.9,IL
113879,37.7408,-88.5244,111.3,IL
114108,39.15,-89.4833,192,IL
114198,40.4744,-87.6561,216.4,IL
114442,39.7347,-90.1978,185.9,IL
114823,40.5839,-90.9686,210.3,IL
115079,40.1514,-89.3381,177.7,IL
115326,42.2928,-88.6469,248.4,IL
115515,38.0844,-88.5425,135.9,IL
115712,40.9125,-89.0339,228.6,IL
115768,40.9247,-90.6392,227.1,IL
115833,41.8039,-89.9744,183.8,IL
115901,42.0981,-89.9842,195.1,IL
115943,38.3483,-88.8533,149.4,IL
116446,38.7003,-88.0819,146.3,IL
